,allele1_HEK_293_rep1,allele1_HEK_293_rep2,allele1_HEK_293_rep3,allele2_HEK_293_rep1,allele2_HEK_293_rep2,allele2_HEK_293_rep3
1,687,1427,512,928,2525,756
2,215,0,117,3970,7461,9186
3,134,0,239,5819,6455,6043
4,4313,4059,5038,1781,7540,4743
5,404,0,330,3807,1239,1800
6,796,0,240,1555,2582,1151
7,62,2479,3207,584,0,370
8,975,1218,3260,3515,2965,3468
9,1749,22030,13821,9557,11214,10543
10,4831,7326,6306,22034,14592,14995
11,323,1316,340,208,0,225
12,775,3921,2935,5562,9364,9407
13,10162,12945,9849,15508,10558,9511
14,1207,9733,6721,1730,5688,1719
15,16633,29761,22766,907,14840,14545
16,14136,28641,24383,18977,19442,4919
17,12052,27591,25848,21506,11022,14165
18,21736,21513,15899,293,1405,690
19,338,2743,1879,444,9664,8897
20,4978,10762,11820,3078,2713,1990
21,12573,8685,8693,14996,19164,14456
22,1053,0,449,1317,2421,2554
23,6888,21935,18888,8570,15917,16054
24,477,0,494,2124,2754,3921
25,12829,17647,16875,3157,6638,6936
26,6358,6035,7959,3943,4932,6769
27,1796,0,891,6142,7364,6841
28,5307,9592,8764,2339,1703,975
29,1164,12659,9196,4569,10516,8727
30,4730,16327,12151,24900,31223,34326
31,876,1240,3456,1070,2382,3040
32,126,1239,3091,1954,593,1109
33,4318,2278,2223,113,2983,1016
34,980,7910,4673,2153,1264,79
35,14369,12006,12459,27926,36067,22048
36,329,0,175,10754,11413,11111
37,9147,8665,6870,777,3414,2564
38,3343,1249,2446,32080,71502,104545
39,24350,20911,21705,15035,33239,25271
40,13897,24402,22761,1968,1332,3802
41,10343,12050,8991,16249,28520,26937
42,5457,9571,7082,159,1269,947
43,11207,10709,7923,939,1354,2463
44,24220,20596,15672,12174,28967,29162
45,1392,4825,1473,70,0,47
46,72,0,138,1698,1128,1921
47,262,0,268,5561,7841,3590
48,99,0,1331,1541,3672,2412
49,1036,7683,4461,7379,7874,12274
50,3481,4623,1824,2013,1107,2762
51,226,4499,2234,4938,6727,2534
52,752,1318,1121,1658,2502,1219
53,4990,3365,4154,12946,19993,22698
54,5445,2032,2746,695,5752,4515
55,6627,0,5598,5872,6646,5896
56,11157,31222,14336,735,1394,1143
57,2452,3661,3960,1284,2395,731
58,85,0,171,3773,2203,1447
